id	dCmdpixogn8
published	2018-07-19 15:00:04
published_unix	1532012404
title	Survival - Ep. 1: Full Episode | History of the World | BBC Documentary
description	Follow the evolution of man that takes us across the globe from China to Egypt. This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/BBCDocs Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT51M37S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	ID,IE,AZ,IN,AT,EE,CX,GE,CZ,LT,AL,AM,CC,GR,CH,CN,RO,PH,MK,TH,TJ,TM,TL,LV,LI,TR,LA,GB,RU,MY,BY,HU,RS,UA,BN,HR,BA,BG,SG,KZ,SI,SK,US,JP,KH,MM,UZ,MD,ME
licensedContent	1
viewCount	139796
likeCount	1069
dislikeCount	73
favoriteCount	0
commentCount	248
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
