id	32xNkhtxWw8
published	2018-07-19 15:00:00
published_unix	1532012400
title	Age of Empire - Ep. 2: Full Episode | History of the World | BBC Documentary
description	We tell the story of the first empires in China and Greece which laid the foundations for the modern world. This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT49M20S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	LA,BN,BA,LT,BG,BY,CC,TR,MY,MK,MM,KH,GR,RS,ME,MD,IE,ID,KZ,PH,RO,TJ,GB,TH,IN,TL,TM,AM,AL,EE,CN,CH,HU,AZ,AT,CZ,CX,JP,SG,LI,HR,LV,UZ,UA,GE,RU,SK,SI
licensedContent	1
viewCount	78025
likeCount	370
dislikeCount	77
favoriteCount	0
commentCount	104
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
