id	Pu6S9L8ekRE
published	2018-07-19 15:00:02
published_unix	1532012402
title	The Word and the Sword - Ep 3 : Full Episode | History of the World | BBC Documentary
description	This episode examines the spiritual revolutions that shook the world between 300 BC and 700 AD This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT50M43S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	BA,UA,BG,JP,BN,KZ,BY,UZ,RS,RU,LI,LA,HR,PH,CZ,HU,LV,LT,RO,GR,AM,AL,CC,CN,TL,TM,TJ,TH,CH,EE,GB,AZ,TR,GE,KH,AT,CX,MM,IE,ID,MK,ME,MD,IN,SG,MY,SK,SI
licensedContent	1
viewCount	49091
likeCount	252
dislikeCount	30
favoriteCount	0
commentCount	39
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
