id	iMO2kg3VQqI
published	2018-07-19 15:00:06
published_unix	1532012406
title	Into the Light - Ep 4 : Full Episode | History of the World | BBC Documentary
description	The series reaches the Middle Ages. This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT51M52S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	JP,LA,UA,LI,LV,UZ,LT,HR,SG,HU,ME,BN,BA,BG,TR,BY,AL,TM,TL,MD,TJ,TH,KZ,RS,MK,RU,MM,ID,IE,RO,MY,KH,PH,EE,IN,AM,CH,GE,CN,SK,GB,CZ,CX,SI,GR,AZ,CC,AT
licensedContent	1
viewCount	41091
likeCount	226
dislikeCount	14
favoriteCount	0
commentCount	53
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
