id	3wuymPfScQA
published	2018-07-19 15:00:00
published_unix	1532012400
title	Age of Plunder - Ep 5 : Full Episode | History of the World | BBC Documentary
description	This episode reveals the explosion of global capitalism This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT49M38S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AZ,RU,CC,RS,MK,CH,MD,ME,AT,CX,EE,AL,AM,RO,GE,CZ,JP,GB,KZ,LV,UA,KH,ID,IE,IN,GR,BG,LI,BA,BN,LA,MY,CN,SG,SI,SK,BY,PH,HR,HU,TM,TL,TH,TJ,TR,MM,LT,UZ
licensedContent	1
viewCount	35774
likeCount	184
dislikeCount	18
favoriteCount	0
commentCount	73
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
