id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzEI3zml6y-VPMWJpd4AaABAg	0	0	2019-01-22 21:56:09	Borja Ruiz	I thought Manhattan was conquered by the british to the dutch in 1664, not traded for another island in 1667.	UCY5dPKA-44PvvgvgxWqiXVg	http://www.youtube.com/channel/UCY5dPKA-44PvvgvgxWqiXVg	0		
UgwgQ8JJM-T9oPbjKHx4AaABAg	0	0	2019-01-16 03:01:32	persephone21	there is no one like BBC to spead full lies half true history events! :-/ Winston Churchill...History will be kind to me for I intend to write it.	UC7jpelupaN-JsiVB1TCjeVw	http://www.youtube.com/channel/UC7jpelupaN-JsiVB1TCjeVw	0		
Ugw_YkBAm4jhQEWx7_l4AaABAg	0	0	2019-01-12 12:24:21	Sebastian Goodmann	why is it theft, betrayal and genocide when the Spanish do it but it&#39;s Queen, Country , exploration and courage when the Brtish do it? couldn&#39;t even keep your 13 colonies for 80 years.	UCHgVmJMeii1C0cLgXl8bW1Q	http://www.youtube.com/channel/UCHgVmJMeii1C0cLgXl8bW1Q	0		
UgzgzWcQmZ9cmkD350l4AaABAg	0	0	2019-01-12 12:22:14	Sebastian Goodmann	16th ? Spanish started at the 15th LoL	UCHgVmJMeii1C0cLgXl8bW1Q	http://www.youtube.com/channel/UCHgVmJMeii1C0cLgXl8bW1Q	0		
Ugwl2CXmwBVVv0MQNaF4AaABAg	0	0	2019-01-12 11:37:33	David Schnare	Columbus did not discover America. As others have pointed out here in the comments, The Vikings had a settlement in Newfoundland 500 years before Columbus set sail. Proven fact.	UCGMiFeKMXYRdCQ1EKMQ0QkQ	http://www.youtube.com/channel/UCGMiFeKMXYRdCQ1EKMQ0QkQ	0		
Ugx_mCgDn2M7Dw5KA7l4AaABAg	1	2	2019-01-09 07:36:14	Merlin P	First European to discover America was Leif Erikson in the 10th century. He was a Norse who traveled from Greenland and settled for a winter in Newfoundland and Labrador at L&#39;Anse Aux Meadows.	UCu7XOZUg4nIvm3rZQ5jwbEA	http://www.youtube.com/channel/UCu7XOZUg4nIvm3rZQ5jwbEA	0		
Ugx_mCgDn2M7Dw5KA7l4AaABAg.8psTOlNotTG8q903kNzd8D		0	2019-01-16 03:06:17	persephone21	Maybe he did,maybe phoenicians did too...but if they did their influence was equal to zero or they didnt live to make it back and tell.	UC7jpelupaN-JsiVB1TCjeVw	http://www.youtube.com/channel/UC7jpelupaN-JsiVB1TCjeVw	1	Ugx_mCgDn2M7Dw5KA7l4AaABAg	Merlin P
Ugw8VLNCWEMsylPzL-l4AaABAg	0	0	2019-01-02 14:17:44	Colin Keener	Just going to point out that everyone during Christopher Columbus KNEW the Earth was Round thanks to the Calculations from great people of the past(Ptolemy, ), they laughed at him because he said the Earth was smaller then it really was. Hell even the Church knew about it and was fine with it, only reason they started going on was later attacking science was thanks to the lose of common people not showing up to serve but instead going to Protestant churches so the Church dumbed itself down and started making text &quot;Heretic&quot; because they were becoming too &quot;Free thinking&quot;. Hell Copernicus(1533, it was explained to the Pope, Pope was pleased) (Before Galileo) reinforced the idea of the Earth rotated around the Sun, he even dedicated the book to the Pope and his theory was taught in Catholic Church &quot;Universities&quot; until Protestant Fundamentalist stated that certain passages in the Bible were being &quot;attacked&quot; from his theory, so the Church started a reign of suppression against the idea and the book itself.	UCNxff4stMMlWFJzLWzDFeww	http://www.youtube.com/channel/UCNxff4stMMlWFJzLWzDFeww	0		
UgzCB_8eSKdL7J5g5nF4AaABAg	1	0	2018-12-28 04:36:28	Yang X	hello people	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
UgzCB_8eSKdL7J5g5nF4AaABAg.8pOFHY2kD2r8pOFKWnSpU6		0	2018-12-28 04:36:52	Yang X	hoi hoi hoi	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	1	UgzCB_8eSKdL7J5g5nF4AaABAg	Yang X
