id	vLteWHhNYE0
published	2018-07-19 15:00:06
published_unix	1532012406
title	Revolution - Ep 6 : Full Episode | History of the World | BBC Documentary
description	In the 17th and 18th centuries, people across the world rose up in the name of freedom and equality against the power of the church and monarchy; from the French revolution, to Galileo to the Boston Tea Party. This programme contains scenes of a distressing nature. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT49M44S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	GE,GB,EE,CN,GR,LI,BY,LV,UZ,LT,SG,JP,KH,LA,BN,BA,HR,BG,ME,CZ,SK,SI,CH,UA,ID,IE,CX,MK,AZ,RO,HU,AT,MY,IN,TR,AL,AM,TM,TL,MD,TJ,TH,KZ,CC,RS,PH,RU,MM
licensedContent	1
viewCount	35109
likeCount	210
dislikeCount	15
favoriteCount	0
commentCount	22
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
