id	qztOdj8Tr-A
published	2018-07-19 15:00:05
published_unix	1532012405
title	Age of Industry - Ep 7 : Full Episode | History of the World | BBC Documentary
description	This episode examines how Britain's Industrial Revolution created the modern world with inventors such as James Watt and George Stevenson improving the steam engines and railways. This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT50M4S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AM,CC,BY,KH,LI,UZ,JP,LA,SG,HU,HR,BN,BA,LV,BG,LT,EE,IE,GB,CH,GE,AZ,GR,CN,CZ,CX,ID,TR,MK,MM,RO,PH,AT,IN,MD,ME,SK,AL,MY,KZ,UA,TJ,RS,TH,RU,SI,TM,TL
licensedContent	1
viewCount	27643
likeCount	143
dislikeCount	14
favoriteCount	0
commentCount	34
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
