id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugyo5abb-Ka32ttiSMB4AaABAg	0	0	2019-01-14 18:24:55	persephone21	here is where the Age of Plunder title fits.	UC7jpelupaN-JsiVB1TCjeVw	http://www.youtube.com/channel/UC7jpelupaN-JsiVB1TCjeVw	0		
UgxCbKpUdnwpQgLoGiR4AaABAg	0	0	2019-01-12 21:20:24	bbffahg Stienstien	way too loud	UCnLMVchmmgGEJMTCspYAL3g	http://www.youtube.com/channel/UCnLMVchmmgGEJMTCspYAL3g	0		
UgxuouZ5LLd03eH0dBh4AaABAg	0	0	2019-01-08 17:13:23	Ashton Tharp	Who is here for school?	UC5rkU8cIVqnVOgB4vxX0M1A	http://www.youtube.com/channel/UC5rkU8cIVqnVOgB4vxX0M1A	0		
Ugwd-LIorQ_os5IQb-R4AaABAg	0	1	2018-12-29 09:27:25	Theturtleowl	They do have actors who speak the languages that the historical figures spoke, but the newspapers from Belgium are in English...	UCwAWJaASmrqoy15_VrxFH6w	http://www.youtube.com/channel/UCwAWJaASmrqoy15_VrxFH6w	0		
Ugwj6ouZI11_QNRx-bZ4AaABAg	0	0	2018-12-29 09:20:14	Theturtleowl	The only country that was mostly spared the colonisation was Ethiopia. The rest of the African continent suffered in one way or an other.	UCwAWJaASmrqoy15_VrxFH6w	http://www.youtube.com/channel/UCwAWJaASmrqoy15_VrxFH6w	0		
UgyIGclbAOn-yJrCNd54AaABAg	0	2	2018-12-28 00:26:31	Mujahid stran	poor mother Africa	UCDyexlpi9C70xi7I_-9SzBQ	http://www.youtube.com/channel/UCDyexlpi9C70xi7I_-9SzBQ	0		
UgzB8g2NtyctV0obeTV4AaABAg	0	2	2018-12-06 08:41:25	gewoon gezellig gamen	Uuuuh franco-prussian war is kind of important i understand you cant put every event in	UCnIJd95JuF6l1W_jBFHWviQ	http://www.youtube.com/channel/UCnIJd95JuF6l1W_jBFHWviQ	0		
UgxnL1SX-VOPfSNdsxF4AaABAg	0	0	2018-12-06 00:31:35	Slave Monkey	that is 1 busted azz lincon	UC7uyRR5zo8xwVs7LLdJ46HA	http://www.youtube.com/channel/UC7uyRR5zo8xwVs7LLdJ46HA	0		
UgwUT5Oao3idOXO7ysR4AaABAg	0	1	2018-12-02 01:13:51	Mikhail Pronokov	Way to make WW1 seem like it was all for german ambition. shame	UCFaYoKEIcneyzlQNUajoJuA	http://www.youtube.com/channel/UCFaYoKEIcneyzlQNUajoJuA	0		
UgxAXOGNDB4flTkDXEd4AaABAg	0	0	2018-11-30 04:46:58	david chapman	i enjoy these videos but they keep getting little things wrong. For instance, a couple of episodes back they described the interaction between Cyrus and Croesus. According to Herodotus, Apollo had nothing to do with the burning, it was because Croesus cried three times-Solon, Solon, Solon and Cyrus himself put out the flames to find out what the hell he was talking about! The rest of the story seems to be accurate.	UCoF8v7pWanDba-GW7ddXtTA	http://www.youtube.com/channel/UCoF8v7pWanDba-GW7ddXtTA	0		
Ugxo44gCzFUch1KB3vl4AaABAg	0	0	2018-11-26 00:29:39	Richard Dao	Humanity need a great war to end all war!!!	UC4xWJTAovygadWncFUtx3Zg	http://www.youtube.com/channel/UC4xWJTAovygadWncFUtx3Zg	0		
UgzCZC5YGl9O7ZGMsrV4AaABAg	0	1	2018-11-25 14:27:34	Mike Smith	Have you ever heard of sound editing?	UCQwEzy8sm3twzmP_FW9rHcA	http://www.youtube.com/channel/UCQwEzy8sm3twzmP_FW9rHcA	0		
Ugz0S4f0XQAPZyHJWQB4AaABAg	0	5	2018-11-25 06:34:51	Jodi Magi	Couldn&#39;t hear narration over the music :(	UCe4QOVj0sO6woaUQ8HzH69g	http://www.youtube.com/channel/UCe4QOVj0sO6woaUQ8HzH69g	0		
UgxkyLUFPNF1v80r3q54AaABAg	0	0	2018-10-28 13:23:48	khải hà	ko có sub @@	UC5hTh-20u-f6IrtmsS-L4lw	http://www.youtube.com/channel/UC5hTh-20u-f6IrtmsS-L4lw	0		
UgzSbiYK3AJ5VPbaXQh4AaABAg	0	2	2018-10-03 03:55:59	Cryscarter	loud ass music	UCrFmoe3T5MqHFRzGpDKVs8g	http://www.youtube.com/channel/UCrFmoe3T5MqHFRzGpDKVs8g	0		
Ugz4aL-tRewZf1Y5Mf54AaABAg	0	14	2018-09-24 03:20:00	Amanda IsAwesome	The music is too loud!	UC0HBIcQ6z4UvUbIQO2ULO_g	http://www.youtube.com/channel/UC0HBIcQ6z4UvUbIQO2ULO_g	0		
Ugy5g55zMCGMDw07AIN4AaABAg	3	4	2018-09-11 10:30:18	anthrax	The Chinese will always cheat and lie but this time they were outsmarted	UCrn5Bq3Ax6wcwoT8xaN12xA	http://www.youtube.com/channel/UCrn5Bq3Ax6wcwoT8xaN12xA	0		
Ugy5g55zMCGMDw07AIN4AaABAg.8l2mvbrPQaV8pQxYM7UE4Z		0	2018-12-29 05:50:27	Yang X	😡😡😡	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	1	Ugy5g55zMCGMDw07AIN4AaABAg	anthrax
Ugy5g55zMCGMDw07AIN4AaABAg.8l2mvbrPQaV8pQxSvIS2b5		0	2018-12-29 05:49:42	Yang X	RUDE!!!	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	1	Ugy5g55zMCGMDw07AIN4AaABAg	anthrax
Ugy5g55zMCGMDw07AIN4AaABAg.8l2mvbrPQaV8nlPqPW4dJt		2	2018-11-17 20:47:43	mega byteme	ignorant bigoted fool	UCbScn3VRSdmyNKbrUoD8rxA	http://www.youtube.com/channel/UCbScn3VRSdmyNKbrUoD8rxA	1	Ugy5g55zMCGMDw07AIN4AaABAg	anthrax
UgyOPOMTEISO0zlkkfl4AaABAg	11	9	2018-07-22 23:43:36	Lucas Linares	You British should be ashamed.<br />Everything you are, everything you have is build upon the blood and death of thousands,if not millions of innocent people throughout history.<br />And you dare to call yourself a civilized nation!😡	UCmcisTM1Dbrtbyo7g2jhnvQ	http://www.youtube.com/channel/UCmcisTM1Dbrtbyo7g2jhnvQ	0		
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8pYzYfXKWLR		0	2019-01-01 08:41:54	Matter Walrus	You think the Europeans were the only people to do this? Plenty of African tribes did the same thing. They kidnapped the enemy tribes and sold them to the Europeans for slaves. If those african tribes had the advanced technology (compared to them) the Europeans had, that the tribes would have sat there and been peaceful and invented world peace, and nothing bad ever happens again?	UC85t2VqJsUTKYiRajTLAQ1g	http://www.youtube.com/channel/UC85t2VqJsUTKYiRajTLAQ1g	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8oiH9QJDoTI		2	2018-12-11 12:05:29	Qadehar Potter	+scipio africanus You guys haven't brought any light anywhere .India was way more richer than now and most of the war are still going on because of your mistake	UCEY15AB3jps51LLRoo4w2Lg	http://www.youtube.com/channel/UCEY15AB3jps51LLRoo4w2Lg	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8o9w2PwpTd2		1	2018-11-27 18:38:52	Chris Bishop	What an ignorant statement, all governments do this, up to this day	UCcab-3TK-9t2ecTDr6TVKOA	http://www.youtube.com/channel/UCcab-3TK-9t2ecTDr6TVKOA	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8nMrjgkL5NL		2	2018-11-07 22:39:57	EmperorShadow	they are civilized, all countries follow this path, not just the British, every country has done something like this.	UCrACS5rKQTXWrSOoKTfroMg	http://www.youtube.com/channel/UCrACS5rKQTXWrSOoKTfroMg	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8nKtRuY1EzZ		1	2018-11-07 04:16:23	Dave The Brahman	What an ignorant perspective on history!	UCh-KdScKk_hR7KxkbKuFTlw	http://www.youtube.com/channel/UCh-KdScKk_hR7KxkbKuFTlw	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8mzkz7yiJwB		0	2018-10-29 13:59:07	jen jen. rutherford	Music is deafening	UCW8DqXaNcNs1kwfeGu9M11w	http://www.youtube.com/channel/UCW8DqXaNcNs1kwfeGu9M11w	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8mqQAnnRIx7		2	2018-10-25 22:55:27	C. Huseyin	silla bear when you posses weaponry as a source to control and defeat against civilizations that were not exposed to those artifacts. Your blatant explanation and justification about the act is in fact weak and blatant.	UCRJPTAjQ5DEv55iN7O-UwZA	http://www.youtube.com/channel/UCRJPTAjQ5DEv55iN7O-UwZA	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8mqQ-cXgJBB		5	2018-10-25 22:53:55	C. Huseyin	scipio africanus the light was invented by Thomas Edison an American and the sun was already there (sarcasm)	UCRJPTAjQ5DEv55iN7O-UwZA	http://www.youtube.com/channel/UCRJPTAjQ5DEv55iN7O-UwZA	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8lrBK9oCvot		4	2018-10-01 09:33:30	silla bear	Why should they be ashamed they are just being an Empire doing empire things. Their victims should be ashamed of themselves with many calling themselves empire and yet get subjugated and humiliated. British were civilized because they are not killing themselves they kill what they consider outsiders. While the others kill themselves the savages that they are	UC11ZA1i3y9qzQQc36x7o1Rg	http://www.youtube.com/channel/UC11ZA1i3y9qzQQc36x7o1Rg	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8lokHh6ur1v		2	2018-09-30 10:50:01	rider7606	From which country are you Lucas?	UCIMJQ3BmPtfgcCntMgzP6ig	http://www.youtube.com/channel/UCIMJQ3BmPtfgcCntMgzP6ig	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
UgyOPOMTEISO0zlkkfl4AaABAg.8j0tALL-4lW8k3QpN33uQB		5	2018-08-17 19:56:19	scipio africanus	Lucas Linares we brought light to where there was darkness before	UCLOSiRonHMmb84jaPQlTm8w	http://www.youtube.com/channel/UCLOSiRonHMmb84jaPQlTm8w	1	UgyOPOMTEISO0zlkkfl4AaABAg	Lucas Linares
