id	hVWkqUTxYjo
published	2018-07-19 15:00:04
published_unix	1532012404
title	Age of Extremes - Ep 8 : Full Episode | History of the World | BBC Documentary
description	The series finale ends with a look at modern history which explores World War 2 and the rise of Hitler. This programme contains some violent scenes. Parental Guidance is advised. Subscribe: http://bit.ly/2uRugTp Welcome to the BBC Documentary channel, offering audiences long-form documentaries that deliver a thought provoking and captivating viewing experience inside key moments from history and the lives of fascinating people. Want to share your views with the team? Join our fan panel: https://tinyurl.com/YouTube-DC-Panel Due to rights and sales restrictions, content on the channel may not be available in all territories. The availability of certain content may also change over time. This is a channel from BBC Studios who help fund new BBC programmes.Service information and feedback: http://bbcworldwide.com/vod-feedback--contact-details.aspx
channelId	UCZEPItn2Nb62Zso5eohHAAA
channelTitle	BBC Documentary
duration	PT52M35S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	KZ,SG,SI,UA,KH,ID,IE,IN,BY,JP,BA,BG,LT,BN,HR,HU,TM,TL,LV,RO,TH,TJ,RS,LI,RU,TR,LA,SK,UZ,AL,AM,MD,ME,CX,MK,CZ,GR,MM,PH,CC,AZ,GB,CH,GE,AT,MY,CN,EE
licensedContent	1
viewCount	27928
likeCount	205
dislikeCount	14
favoriteCount	0
commentCount	56
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
